22.78,127.0,4.0,3.0
22.83,128.0,4.0,3.0
22.86,129.0,4.0,3.0
22.9,130.0,4.0,3.0
22.91,131.0,4.0,3.0
22.91,131.0,4.0,3.0
22.91,131.0,4.0,3.0
22.91,131.0,4.0,3.0
23.19,132.0,4.0,3.0
23.19,133.0,4.0,3.0
23.22,134.0,4.0,3.0
23.24,135.0,4.0,3.0
23.24,136.0,4.0,3.0
23.24,137.0,4.0,3.0
23.24,137.0,4.0,3.0
23.24,137.0,4.0,3.0
23.24,137.0,4.0,3.0
23.54,138.0,4.0,3.0
23.54,138.0,4.0,4.0
23.58,138.0,4.0,4.0
23.67,139.0,4.0,4.0
23.67,140.0,4.0,4.0
23.67,141.0,4.0,4.0
23.67,142.0,4.0,4.0
23.67,143.0,4.0,4.0
23.67,144.0,4.0,4.0
23.67,144.0,4.0,4.0
23.67,144.0,4.0,4.0
23.67,144.0,4.0,4.0
23.67,144.0,4.0,4.0
23.67,144.0,4.0,4.0
24.54,145.0,4.0,4.0
24.54,146.0,3.0,4.0
24.67,147.0,3.0,4.0
24.69,148.0,3.0,4.0
24.69,148.0,3.0,4.0
24.74,149.0,3.0,4.0
24.76,150.0,3.0,4.0
24.81,150.0,3.0,4.0
24.81,150.0,3.0,4.0
24.81,150.0,3.0,4.0
24.81,150.0,3.0,4.0
24.93,151.0,3.0,4.0
25.12,152.0,3.0,4.0
25.12,153.0,3.0,4.0
25.15,154.0,3.0,4.0
25.15,154.0,3.0,4.0
25.47,155.0,3.0,4.0
25.47,155.0,3.0,5.0
25.67,156.0,3.0,5.0
25.78,156.0,3.0,4.0
25.83,157.0,3.0,4.0
25.85,157.0,3.0,5.0
25.85,158.0,3.0,4.0
25.85,158.0,3.0,4.0
25.85,158.0,3.0,4.0
26.12,159.0,3.0,4.0
26.14,160.0,3.0,4.0
26.18,160.0,3.0,4.0
26.18,160.0,3.0,4.0
26.18,160.0,3.0,4.0
26.45,160.0,3.0,4.0
26.45,160.0,3.0,4.0
27.15,161.0,3.0,4.0
27.54,162.0,3.0,4.0
27.54,163.0,3.0,4.0
27.54,164.0,3.0,4.0
27.78,165.0,3.0,4.0
27.82,166.0,3.0,4.0
27.89,167.0,3.0,4.0
27.92,168.0,3.0,4.0
27.94,169.0,3.0,4.0
27.95,169.0,3.0,4.0
27.95,169.0,3.0,4.0
27.95,169.0,3.0,4.0
27.95,169.0,3.0,4.0
28.33,170.0,3.0,4.0
28.35,171.0,3.0,4.0
28.37,172.0,3.0,4.0
28.45,172.0,3.0,4.0
28.48,173.0,3.0,4.0
28.48,173.0,3.0,4.0
28.53,174.0,3.0,4.0
28.53,175.0,3.0,4.0
28.59,176.0,3.0,4.0
28.64,177.0,3.0,4.0
28.68,178.0,3.0,4.0
28.72,179.0,3.0,4.0
28.75,180.0,3.0,4.0
28.75,181.0,3.0,4.0
28.75,181.0,3.0,4.0
29.18,182.0,3.0,4.0
29.18,182.0,3.0,4.0
29.2,183.0,3.0,4.0
29.35,184.0,3.0,5.0
29.39,184.0,3.0,5.0
29.39,184.0,3.0,5.0
29.39,184.0,3.0,5.0
29.39,184.0,3.0,5.0
29.39,184.0,3.0,5.0
29.39,184.0,3.0,5.0
29.39,184.0,3.0,5.0
29.39,185.0,3.0,5.0
29.39,186.0,3.0,5.0
29.43,187.0,3.0,5.0
29.46,188.0,3.0,5.0
29.5,189.0,3.0,5.0
29.5,189.0,3.0,5.0
29.5,189.0,3.0,5.0
30.5,190.0,3.0,5.0
30.65,191.0,3.0,5.0
30.65,191.0,2.0,5.0
30.77,192.0,2.0,5.0
30.77,192.0,2.0,5.0
30.82,193.0,2.0,5.0
30.85,194.0,2.0,5.0
30.89,194.0,2.0,5.0
30.89,194.0,2.0,5.0
30.89,195.0,2.0,5.0
30.92,196.0,2.0,5.0
30.95,197.0,2.0,5.0
30.95,197.0,2.0,5.0
30.97,198.0,2.0,5.0
30.97,198.0,2.0,5.0
30.97,198.0,2.0,5.0
30.97,199.0,2.0,5.0
30.97,199.0,2.0,5.0
30.97,199.0,2.0,5.0
31.12,200.0,2.0,5.0
31.15,201.0,2.0,5.0
31.15,202.0,2.0,5.0
31.19,203.0,2.0,5.0
31.19,204.0,2.0,5.0
31.19,205.0,2.0,5.0
31.29,205.0,2.0,5.0
31.29,205.0,2.0,5.0
31.29,205.0,2.0,5.0
31.87,206.0,2.0,5.0
31.87,206.0,2.0,5.0
31.96,207.0,2.0,5.0
31.98,208.0,2.0,5.0
32.0,208.0,2.0,5.0
32.7,209.0,2.0,5.0
32.7,209.0,2.0,5.0
32.7,209.0,2.0,5.0
32.88,210.0,2.0,5.0
32.89,211.0,2.0,5.0
32.89,212.0,2.0,5.0
32.91,213.0,2.0,5.0
32.91,214.0,2.0,5.0
32.91,214.0,2.0,5.0
32.91,214.0,2.0,5.0
32.91,214.0,2.0,5.0
32.91,215.0,2.0,5.0
33.12,216.0,2.0,5.0
33.12,217.0,2.0,5.0
